Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico,Vitimas de Latrocinio,Vitimas de Lesao Corp. Seg. Morte
VALE VERDE,2,2,0,33,15,1,3,0,5,3,0,1,0,0
VANINI,0,0,0,8,1,2,0,0,13,1,4,1,0,0
VENANCIO AIRES,8,8,0,791,27,34,85,12,341,30,82,90,0,0
VERA CRUZ,2,2,0,204,21,13,35,2,157,2,9,6,0,0
VERANOPOLIS,4,4,0,136,4,7,4,0,162,14,66,56,0,0
VESPASIANO CORREA,0,0,0,12,1,0,0,0,8,0,0,0,0,0
VIADUTOS,0,0,0,31,4,1,0,0,20,4,5,2,0,0
VIAMAO,59,67,2,2030,61,230,2275,369,1633,139,110,437,2,1
VICENTE DUTRA,0,0,1,15,2,2,2,1,6,7,11,4,1,0
VICTOR GRAEFF,1,1,0,20,2,0,1,0,20,4,0,3,0,0
VILA FLORES,1,1,0,13,1,1,0,0,19,3,2,1,0,0
VILA LANGARO,0,0,0,11,1,0,1,0,8,1,1,1,0,0
VILA MARIA,0,0,0,28,1,2,2,0,36,4,14,0,0,0
VILA NOVA DO SUL,0,0,0,45,15,0,1,0,11,3,2,1,0,0
VISTA ALEGRE,0,0,0,18,4,0,1,1,9,3,1,0,0,0
VISTA ALEGRE DO PRATA,0,0,0,4,0,0,1,0,0,0,0,0,0,0
VISTA GAUCHA,0,0,0,8,2,0,0,0,10,2,1,0,0,0
VITORIA DAS MISSOES,1,1,0,23,8,1,0,0,7,1,0,0,0,0
WESTFALIA,0,0,0,10,2,0,0,0,21,0,1,0,0,0
XANGRI-LA,4,4,0,636,1,20,25,1,241,4,49,50,0,0
