Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
SANTA ROSA,4,722,56,46,0,2,128,33,108,71
SANTA TEREZA,0,7,1,1,0,0,0,0,3,0
SANTA TEREzA,0,0,0,0,0,0,0,0,0,0
SANTA VITORIA DO PALMAR,4,540,17,44,1,3,63,17,11,23
SANTANA DA BOA VISTA,3,71,2,1,0,0,5,6,3,0
SANTANA DO LIVRAMENTO,9,920,60,102,1,4,137,43,90,34
SANTIAGO,2,453,9,28,0,0,119,32,88,40
SANTO ANGELO,9,1100,74,116,0,7,131,41,82,54
SANTO ANTONIO DA PATRULHA,4,360,35,63,0,14,62,15,38,34
SANTO ANTONIO DAS MISSOES,2,103,1,4,0,0,5,5,24,6
SANTO ANTONIO DO PALMA,0,11,1,0,0,2,2,1,0,0
SANTO ANTONIO DO PLANALTO,1,9,1,1,1,1,4,0,0,0
SANTO AUGUSTO,3,93,11,8,0,0,16,9,6,2
SANTO CRISTO,0,50,8,0,0,0,5,7,8,2
SANTO EXPEDITO DO SUL,0,6,0,0,0,0,2,4,0,0
SAO BORJA,7,640,30,87,0,1,88,25,41,84
SAO DOMINGOS DO SUL,0,24,3,4,0,1,1,1,0,0
SAO FRANCISCO DE ASSIS,1,150,1,5,0,0,19,9,11,2
SAO FRANCISCO DE PAULA,3,238,8,38,1,7,48,14,34,21
SAO GABRIEL,6,725,18,41,0,2,70,53,30,60
SAO JERONIMO,2,209,7,16,0,3,36,9,33,19
SAO JOAO DA URTIGA,0,14,0,1,0,0,2,3,0,0
SAO JOAO DO POLESINE,0,28,0,2,0,0,8,0,0,0
SAO JORGE,0,12,2,1,0,1,0,0,0,0
SAO JOSE DAS MISSOES,0,8,0,1,0,0,2,0,0,0
SAO JOSE DO HERVAL,0,25,1,1,0,0,2,1,0,0
SAO JOSE DO HORTENCIO,0,20,1,0,0,1,3,0,3,1
SAO JOSE DO INHACORA,1,6,0,0,0,0,2,1,0,0
SAO JOSE DO NORTE,5,206,9,34,0,0,15,12,35,22
SAO JOSE DO OURO,0,34,0,1,0,1,16,2,2,3
SAO JOSE DO SUL,0,9,1,2,0,0,3,0,0,0
SAO JOSE DOS AUSENTES,0,24,1,0,0,0,4,1,2,1
SAO LEOPOLDO,52,2471,413,1315,3,394,616,99,216,186
SAO LOURENCO DO SUL,0,293,8,36,0,1,63,14,75,21
SAO LUIZ GONZAGA,1,576,23,44,0,2,83,49,42,36
SAO MARCOS,1,146,24,14,0,7,55,11,22,7
SAO MARTINHO,0,37,0,3,0,0,5,0,2,0
SAO MARTINHO DA SERRA,0,55,1,1,0,0,1,3,0,0
SAO MIGUEL DAS MISSOES,0,70,2,3,0,0,6,4,1,0
SAO NICOLAU,1,65,2,1,0,0,2,16,1,0
SAO PAULO DAS MISSOES,0,21,1,0,0,0,3,2,0,1
SAO PEDRO DA SERRA,0,13,0,0,0,0,5,0,3,0
SAO PEDRO DAS MISSOES,0,13,0,0,0,0,1,1,1,0
SAO PEDRO DO BUTIA,0,15,0,0,0,0,4,0,0,0
SAO PEDRO DO SUL,2,252,2,17,0,0,24,8,14,3
SAO SEBASTIAO DO CAI,5,256,17,37,0,11,49,7,110,22
SAO SEPE,2,269,3,29,1,0,23,17,15,34
SAO VALENTIM,0,16,0,2,0,0,0,0,1,0
SAO VALENTIM DO SUL,0,23,1,2,0,1,2,1,0,0
SAO VALERIO DO SUL,0,8,0,0,0,0,1,1,0,0
SAO VENDELINO,0,6,0,2,0,4,2,1,1,0
SAO VICENTE DO SUL,0,102,4,3,0,0,13,4,2,2
SAPIRANGA,7,609,137,203,0,44,124,28,72,32
SAPUCAIA DO SUL,35,1277,197,864,0,179,265,41,133,113
SARANDI,5,194,13,25,0,5,57,14,15,14
SEBERI,0,79,0,9,0,0,16,14,3,0
SEDE NOVA,0,8,0,0,0,0,3,1,0,0
SEGREDO,0,28,1,1,0,1,6,1,2,0
SELBACH,0,28,1,4,0,0,4,2,0,0
SENADOR SALGADO FILHO,0,19,0,0,0,0,1,1,0,0
SENTINELA DO SUL,1,52,4,7,0,0,3,2,1,1
SERAFINA CORREA,1,103,4,3,0,1,30,3,13,2
SERIO,0,11,0,0,0,0,1,1,0,0
SERTAO,0,67,1,3,0,1,10,5,0,0
SERTAO SANTANA,0,30,1,3,0,0,1,3,0,1
SETE DE SETEMBRO,1,17,0,0,0,0,0,4,0,0
SEVERIANO DE ALMEIDA,0,29,0,1,0,0,2,5,0,1
SILVEIRA MARTINS,0,15,0,2,0,0,2,0,0,1
SINIMBU,0,34,6,3,0,0,12,2,1,1
SOBRADINHO,0,204,6,9,0,2,33,12,18,12
