Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
MULITERNO,0,11,0,1,0,0,1,0,0,0
NAO INFORMA,0,0,0,0,0,0,0,0,0,0
NAO-ME-TOQUE,0,165,16,21,0,4,43,10,14,13
NICOLAU VERGUEIRO,0,16,0,1,0,2,3,2,2,0
NONOAI,2,152,10,6,0,1,18,9,6,4
NOVA ALVORADA,0,12,1,5,0,0,10,5,1,0
NOVA ARACA,0,29,7,0,0,1,4,2,2,1
NOVA BASSANO,0,50,7,7,0,2,11,7,5,4
NOVA BOA VISTA,0,3,0,0,0,0,2,0,0,0
NOVA BRESCIA,0,17,2,1,0,0,2,0,2,0
NOVA CANDELARIA,0,4,0,0,0,0,5,2,1,0
NOVA ESPERANCA DO SUL,1,21,1,0,0,0,6,3,2,2
NOVA HARTZ,1,134,6,31,0,2,41,10,14,4
NOVA PADUA,0,12,0,1,0,0,3,0,0,0
NOVA PALMA,0,64,0,6,0,0,8,3,0,0
NOVA PETROPOLIS,1,114,3,8,0,2,43,4,22,11
NOVA PRATA,2,176,19,17,0,1,56,12,25,20
NOVA RAMADA,0,14,0,0,0,0,1,2,0,0
NOVA ROMA DO SUL,0,19,1,0,0,0,5,2,3,0
NOVA SANTA RITA,5,240,24,36,0,14,53,9,37,13
NOVO BARREIRO,1,16,1,0,0,0,0,1,1,0
NOVO CABRAIS,0,27,0,1,0,0,5,1,0,0
NOVO HAMBURGO,45,3028,702,1640,1,487,735,132,327,303
NOVO MACHADO,0,15,1,1,0,0,0,4,0,1
NOVO TIRADENTES,0,7,0,0,0,0,0,1,0,0
NOVO XINGU,0,2,0,0,0,0,1,0,0,0
OSORIO,7,707,52,94,0,10,145,16,94,85
PAIM FILHO,0,42,0,0,0,0,6,1,1,0
PALMARES DO SUL,4,204,5,24,1,3,23,6,13,13
PALMEIRA DAS MISSOES,3,341,22,32,0,7,51,23,28,19
